Company Name,Country,Variable,Unit,Year,Value,Source,Certainty
ArcelorMittal,,Emissions (BAU),MtCO2,2024,93.554,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2025,93.197,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2026,101.968,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2027,105.496,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2028,107.021,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2029,127.024,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2030,126.508,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2031,125.976,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2032,142.341,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2033,165.124,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2034,164.489,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2035,163.766,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2036,163.047,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2037,162.332,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2038,161.62,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2039,160.911,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2040,160.207,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2041,159.505,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2042,158.808,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2043,158.113,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2044,157.422,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2045,157.326,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2046,156.642,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2047,155.962,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2048,155.284,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2049,154.61,gem_plant_level,
ArcelorMittal,,Emissions (BAU),MtCO2,2050,153.94,gem_plant_level,
ArcelorMittal,,Emissions (Historical),MtCO2,2014,148.387,apa,0.77
ArcelorMittal,,Emissions (Historical),MtCO2,2015,146.845,apa,0.77
ArcelorMittal,,Emissions (Historical),MtCO2,2016,144.652,apa,0.77
ArcelorMittal,,Emissions (Historical),MtCO2,2017,147.726,apa,0.77
ArcelorMittal,,Emissions (Historical),MtCO2,2018,146.191,apa,0.77
ArcelorMittal,,Emissions (Historical),MtCO2,2019,141.36,apa,0.77
ArcelorMittal,,Emissions (Historical),MtCO2,2020,112.149,apa,0.79
ArcelorMittal,,Emissions (Historical),MtCO2,2021,107.854,apa,0.89
ArcelorMittal,,Emissions (Historical),MtCO2,2022,87.843,apa,0.89
ArcelorMittal,,Emissions (Historical),MtCO2,2023,85.972,apa,0.91
ArcelorMittal,,Emissions (Historical),MtCO2,2024,93.554,apa,0.91
ArcelorMittal,,Emissions (Historical),MtCO2,2025,80.42,climate_trace,0.72
ArcelorMittal,,Emissions (NZT),MtCO2,2025,80.42,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2026,76.399,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2027,72.378,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2028,68.357,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2029,64.336,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2030,60.315,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2031,57.5,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2032,54.686,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2033,51.871,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2034,49.056,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2035,46.242,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2036,43.427,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2037,40.612,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2038,37.797,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2039,34.983,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2040,32.168,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2041,29.353,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2042,26.539,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2043,23.724,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2044,20.909,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2045,18.094,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2046,15.28,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2047,12.465,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2048,9.65,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2049,6.836,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2050,4.021,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2051,4.021,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2052,4.021,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2053,4.021,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2054,4.021,oxford_nzt,
ArcelorMittal,,Emissions (NZT),MtCO2,2055,4.021,oxford_nzt,
ArcelorMittal,,Emissions (TP),MtCO2,2024,93.554,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2025,93.205,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2026,103.418,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2027,107.564,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2028,109.392,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2029,132.601,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2030,120.368,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2031,119.872,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2032,138.929,gem_closure,
ArcelorMittal,,Emissions (TP),MtCO2,2033,165.413,gem_closure,
