company,year,metric,value,unit,source_pdf,source_page,source_table,extraction_method,sha256,extracted_date,confidence,notes
ArcelorMittal,2020,emissions_scope12_mt_co2,58.0,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2020.pdf,28,,regex_text,07f8a54c4eec724cdd2f1a4e4d10e410c47e160cbbf9c22eb5ee586bfc4bcef9,2026-01-28,high,"AM CO2 footprint table, last value from series: [58.0]"
ArcelorMittal,2022,emissions_scope12_mt_co2,117.8,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-01-28,high,"AM CO2 footprint table, last value from series: [151.4, 144.3, 122.9, 139.3, 117.8]"
ArcelorMittal,2022,production_mt,58.8,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-01-28,high,"AM performance table, last value from series: [74.5, 70.5, 58.2, 67.9, 58.8]"
ArcelorMittal,2023,emissions_scope12_mt_co2,114.3,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-01-28,high,"AM CO2 footprint table, last value from series: [158.8, 151.8, 130.5, 148.1, 125.7, 114.3]"
ArcelorMittal,2023,production_mt,58.1,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-01-28,high,"AM performance table, last value from series: [77.4, 73.3, 60.9, 70.7, 61.8, 58.1]"
Tata Steel,2024,production_mt,27.1,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/tata_steel/integrated-report-and-annual-accounts-fy2023-24.pdf,135,8.0,table_pdfplumber,870be0ca867c1c562337a5319d09cac353a85dbb7907dce7c13ee47ad7af3e21,2026-01-28,high,"Table row: pj/million
tonnes of
crude steel 27.1 30.1 28.5 31.4 24.5 26.3 24.7"
Tata Steel,2024,emissions_scope12_mt_co2,84.0,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/tata_steel/integrated-report-and-annual-accounts-fy2023-24.pdf,66,,regex_text,870be0ca867c1c562337a5319d09cac353a85dbb7907dce7c13ee47ad7af3e21,2026-01-28,high,"Tata consolidated Scope 1=77.0, Scope 2=7.0"
JSW Steel,2020,production_mt,16.06,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jsw_steel/JSW Steel_AR 2020 Final.pdf,30,,regex_text,88c7a020547686619a5076cc200915b615b0b86e58a06c864e5a5963398a8609,2026-01-28,high,JSW production (same line): 16.06 MnT
JSW Steel,2021,production_mt,15.08,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jsw_steel/jsw-steel-20-21.pdf,101,,regex_text,959945de99cb698cd91daade6ecb8d690700a5730133be4d7c097d29be3b6d38,2026-01-28,high,JSW production (same line): 15.08 MnT
JSW Steel,2022,production_mt,18.18,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/jsw_steel/JSW Steel Integrated Report 2021-22.pdf,15,,regex_text,b8919da18ad8ed1ed8aee9785bdc7b22e9523353be85ae8db8b81991deeb6f81,2026-01-28,high,JSW consolidated production: 18.18 MnT
