company,year,metric,value,unit,source,source_detail,extraction_method,reliability,comparability,certainty,is_default,quality_flag,notes
A. Finkl & Sons Corp,2021,production_mt,0.443,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
A. Finkl & Sons Corp,2021,emissions_mt_co2,0.035,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
A. Finkl & Sons Corp,2022,production_mt,0.393,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
A. Finkl & Sons Corp,2022,emissions_mt_co2,0.031,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
A. Finkl & Sons Corp,2023,production_mt,0.389,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
A. Finkl & Sons Corp,2023,emissions_mt_co2,0.031,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
A. Finkl & Sons Corp,2024,production_mt,0.382,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
A. Finkl & Sons Corp,2024,emissions_mt_co2,0.031,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
A. Finkl & Sons Corp,2025,production_mt,0.316,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
A. Finkl & Sons Corp,2025,emissions_mt_co2,0.025,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ABA Çelik Demir LŞ,2021,production_mt,0.878,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
ABA Çelik Demir LŞ,2021,emissions_mt_co2,0.237,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
ABA Çelik Demir LŞ,2022,production_mt,0.734,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
ABA Çelik Demir LŞ,2022,emissions_mt_co2,0.198,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
ABA Çelik Demir LŞ,2023,production_mt,0.653,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ABA Çelik Demir LŞ,2023,emissions_mt_co2,0.176,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ABA Çelik Demir LŞ,2024,production_mt,0.701,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ABA Çelik Demir LŞ,2024,emissions_mt_co2,0.189,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ABA Çelik Demir LŞ,2025,production_mt,0.6,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ABA Çelik Demir LŞ,2025,emissions_mt_co2,0.162,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2021,production_mt,0.952,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
