company,year,metric,value_apa,value_climate_trace,default_value,default_source,default_certainty,n_sources,source_spread_pct
A. Finkl & Sons Corp,2021,emissions_mt_co2,,0.035,0.035,climate_trace,0.7,1.0,
A. Finkl & Sons Corp,2021,production_mt,,0.443,0.443,climate_trace,0.7,1.0,
A. Finkl & Sons Corp,2022,emissions_mt_co2,,0.031,0.031,climate_trace,0.7,1.0,
A. Finkl & Sons Corp,2022,production_mt,,0.393,0.393,climate_trace,0.7,1.0,
A. Finkl & Sons Corp,2023,emissions_mt_co2,,0.031,0.031,climate_trace,0.72,1.0,
A. Finkl & Sons Corp,2023,production_mt,,0.389,0.389,climate_trace,0.72,1.0,
A. Finkl & Sons Corp,2024,emissions_mt_co2,,0.031,0.031,climate_trace,0.72,1.0,
A. Finkl & Sons Corp,2024,production_mt,,0.382,0.382,climate_trace,0.72,1.0,
A. Finkl & Sons Corp,2025,emissions_mt_co2,,0.025,0.025,climate_trace,0.72,1.0,
A. Finkl & Sons Corp,2025,production_mt,,0.316,0.316,climate_trace,0.72,1.0,
ABA Çelik Demir LŞ,2021,emissions_mt_co2,,0.237,0.237,climate_trace,0.7,1.0,
ABA Çelik Demir LŞ,2021,production_mt,,0.878,0.878,climate_trace,0.7,1.0,
ABA Çelik Demir LŞ,2022,emissions_mt_co2,,0.198,0.198,climate_trace,0.7,1.0,
ABA Çelik Demir LŞ,2022,production_mt,,0.734,0.734,climate_trace,0.7,1.0,
ABA Çelik Demir LŞ,2023,emissions_mt_co2,,0.176,0.176,climate_trace,0.72,1.0,
ABA Çelik Demir LŞ,2023,production_mt,,0.653,0.653,climate_trace,0.72,1.0,
ABA Çelik Demir LŞ,2024,emissions_mt_co2,,0.189,0.189,climate_trace,0.72,1.0,
ABA Çelik Demir LŞ,2024,production_mt,,0.701,0.701,climate_trace,0.72,1.0,
ABA Çelik Demir LŞ,2025,emissions_mt_co2,,0.162,0.162,climate_trace,0.72,1.0,
ABA Çelik Demir LŞ,2025,production_mt,,0.6,0.6,climate_trace,0.72,1.0,
AFV Acciaierie Beltrame SpA,2021,emissions_mt_co2,,0.076,0.076,climate_trace,0.7,1.0,
AFV Acciaierie Beltrame SpA,2021,production_mt,,0.952,0.952,climate_trace,0.7,1.0,
AFV Acciaierie Beltrame SpA,2022,emissions_mt_co2,,0.065,0.065,climate_trace,0.7,1.0,
AFV Acciaierie Beltrame SpA,2022,production_mt,,0.814,0.814,climate_trace,0.7,1.0,
AFV Acciaierie Beltrame SpA,2023,emissions_mt_co2,,0.064,0.064,climate_trace,0.72,1.0,
AFV Acciaierie Beltrame SpA,2023,production_mt,,0.797,0.797,climate_trace,0.72,1.0,
AFV Acciaierie Beltrame SpA,2024,emissions_mt_co2,,0.06,0.06,climate_trace,0.72,1.0,
AFV Acciaierie Beltrame SpA,2024,production_mt,,0.752,0.752,climate_trace,0.72,1.0,
AFV Acciaierie Beltrame SpA,2025,emissions_mt_co2,,0.049,0.049,climate_trace,0.72,1.0,
AFV Acciaierie Beltrame SpA,2025,production_mt,,0.614,0.614,climate_trace,0.72,1.0,
AG Siderurgica Balboa SA,2021,emissions_mt_co2,,0.08,0.08,climate_trace,0.7,1.0,
AG Siderurgica Balboa SA,2021,production_mt,,1.001,1.001,climate_trace,0.7,1.0,
AG Siderurgica Balboa SA,2022,emissions_mt_co2,,0.064,0.064,climate_trace,0.7,1.0,
AG Siderurgica Balboa SA,2022,production_mt,,0.801,0.801,climate_trace,0.7,1.0,
AG Siderurgica Balboa SA,2023,emissions_mt_co2,,0.057,0.057,climate_trace,0.72,1.0,
AG Siderurgica Balboa SA,2023,production_mt,,0.714,0.714,climate_trace,0.72,1.0,
AG Siderurgica Balboa SA,2024,emissions_mt_co2,,0.06,0.06,climate_trace,0.72,1.0,
AG Siderurgica Balboa SA,2024,production_mt,,0.748,0.748,climate_trace,0.72,1.0,
AG Siderurgica Balboa SA,2025,emissions_mt_co2,,0.058,0.058,climate_trace,0.72,1.0,
AG Siderurgica Balboa SA,2025,production_mt,,0.727,0.727,climate_trace,0.72,1.0,
AG der Dillinger Hüttenwerke AG,2021,emissions_mt_co2,,3.719,3.719,climate_trace,0.7,1.0,
AG der Dillinger Hüttenwerke AG,2021,production_mt,,1.957,1.957,climate_trace,0.7,1.0,
AG der Dillinger Hüttenwerke AG,2022,emissions_mt_co2,,3.808,3.808,climate_trace,0.7,1.0,
AG der Dillinger Hüttenwerke AG,2022,production_mt,,2.004,2.004,climate_trace,0.7,1.0,
AG der Dillinger Hüttenwerke AG,2023,emissions_mt_co2,,3.672,3.672,climate_trace,0.72,1.0,
AG der Dillinger Hüttenwerke AG,2023,production_mt,,1.933,1.933,climate_trace,0.72,1.0,
AG der Dillinger Hüttenwerke AG,2024,emissions_mt_co2,,3.84,3.84,climate_trace,0.72,1.0,
AG der Dillinger Hüttenwerke AG,2024,production_mt,,2.021,2.021,climate_trace,0.72,1.0,
AG der Dillinger Hüttenwerke AG,2025,emissions_mt_co2,,2.424,2.424,climate_trace,0.72,1.0,
AG der Dillinger Hüttenwerke AG,2025,production_mt,,1.276,1.276,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2021,emissions_mt_co2,,0.033,0.033,climate_trace,0.7,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2021,production_mt,,0.414,0.414,climate_trace,0.7,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2022,emissions_mt_co2,,0.03,0.03,climate_trace,0.7,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2022,production_mt,,0.376,0.376,climate_trace,0.7,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2023,emissions_mt_co2,,0.023,0.023,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2023,production_mt,,0.286,0.286,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2024,emissions_mt_co2,,0.027,0.027,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2024,production_mt,,0.334,0.334,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2025,emissions_mt_co2,,0.027,0.027,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2025,production_mt,,0.334,0.334,climate_trace,0.72,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2021,emissions_mt_co2,,0.268,0.268,climate_trace,0.7,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2021,production_mt,,1.409,1.409,climate_trace,0.7,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2022,emissions_mt_co2,,0.224,0.224,climate_trace,0.7,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2022,production_mt,,1.179,1.179,climate_trace,0.7,1.0,
