company,year,metric,value,unit,source_pdf,source_page,source_table,extraction_method,sha256,extracted_date,confidence,notes
ArcelorMittal,2018,production_mt,74.5,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,medium,"AM performance table, value 1/5 from series: [74.5, 70.5, 58.2, 67.9, 58.8]"
ArcelorMittal,2019,production_mt,70.5,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,medium,"AM performance table, value 2/5 from series: [74.5, 70.5, 58.2, 67.9, 58.8]"
ArcelorMittal,2020,production_mt,58.2,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,medium,"AM performance table, value 3/5 from series: [74.5, 70.5, 58.2, 67.9, 58.8]"
ArcelorMittal,2021,production_mt,67.9,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,medium,"AM performance table, value 4/5 from series: [74.5, 70.5, 58.2, 67.9, 58.8]"
ArcelorMittal,2022,production_mt,58.8,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2022.pdf,29,,regex_text,f42f764cb88f6bf06ee6f80f810c28f4932492e370d7f309aa0fbc0ae0672618,2026-02-12,high,"AM performance table, value 5/5 from series: [74.5, 70.5, 58.2, 67.9, 58.8]"
ArcelorMittal,2018,production_mt,77.4,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM performance table, value 1/6 from series: [77.4, 73.3, 60.9, 70.7, 61.8, 58.1]"
ArcelorMittal,2019,production_mt,73.3,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM performance table, value 2/6 from series: [77.4, 73.3, 60.9, 70.7, 61.8, 58.1]"
ArcelorMittal,2020,production_mt,60.9,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM performance table, value 3/6 from series: [77.4, 73.3, 60.9, 70.7, 61.8, 58.1]"
ArcelorMittal,2021,production_mt,70.7,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM performance table, value 4/6 from series: [77.4, 73.3, 60.9, 70.7, 61.8, 58.1]"
ArcelorMittal,2022,production_mt,61.8,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,medium,"AM performance table, value 5/6 from series: [77.4, 73.3, 60.9, 70.7, 61.8, 58.1]"
ArcelorMittal,2023,production_mt,58.1,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/arcelormittal/arcelor-mittal-integrated-annual-review-2023.pdf,33,,regex_text,94bacfb7237731f3f695dee50f685268263494bd4357c3eb64119beca8eae67a,2026-02-12,high,"AM performance table, value 6/6 from series: [77.4, 73.3, 60.9, 70.7, 61.8, 58.1]"
Tata Steel,2016,production_mt,9.97,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/integrated-report-annual-accounts-2015-16-109th-year.pdf,16,,regex_text,75e9cc922cf72bba001542dfd9629a5bf834d3706e16b07f7638341186397474,2026-02-12,medium,"Matched pattern in text, raw: 9.97 MnT"
Tata Steel,2017,production_mt,23.88,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/integrated-report-and-annual-accounts-2016-17.pdf,2,,regex_text,56dff1bb725ddfa5c5f19f34ea12bda3e6bd934c2562c14841bd9aaed652711c,2026-02-12,medium,"Matched pattern in text, raw: 23.88 MnT"
Tata Steel,2019,production_mt,1735.0,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/tata-steel-ir-2018-19-220619.pdf,94,,regex_text,5857b5aac5af5a9c65dcfc673078ad8e47d4f528fc63aedf2235967318b2f392,2026-02-12,medium,"Matched pattern in text, raw: 1,735 MnT"
Tata Steel,2022,production_mt,18.9,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/tata-steel-ir-2021-22.pdf,9,3.0,table_pdfplumber,0bd9b1b2d7c3448a4d6087c84f02419ded305643fb350eb4e9cdaff2304ca9d5,2026-02-12,high,Table row: hot metal production (mnt) 18.90
Tata Steel,2024,production_mt,27.1,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/tata-steel-limited-ir-2024.pdf,134,8.0,table_pdfplumber,128706186e05b5fe07e6e9184252e423340634e22fbc2edb5e9423db4cffd232,2026-02-12,high,"Table row: pj/million
tonnes of
crude steel 27.1 30.1 28.5 31.4 24.5 26.3 24.7"
Tata Steel,2025,production_mt,28.3,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/tata_steel/fy25-integratedreport.pdf,111,8.0,table_pdfplumber,40fe520d35a1b277e3d20eaf1c10ecc5115425f3f678145efcc7c62c28a93dfa,2026-02-12,high,"Table row: pj/million
tonnes of
crude steel 28.3 30.7 28.3 30.3 25.1 26.8 24.5"
JSW Steel,2020,production_mt,16.06,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/jsw_steel/JSW Steel_AR 2020 Final.pdf,30,,regex_text,88c7a020547686619a5076cc200915b615b0b86e58a06c864e5a5963398a8609,2026-02-12,high,JSW production (same line): 16.06 MnT
JSW Steel,2021,production_mt,15.08,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/jsw_steel/jsw-steel-20-21.pdf,101,,regex_text,959945de99cb698cd91daade6ecb8d690700a5730133be4d7c097d29be3b6d38,2026-02-12,high,JSW production (same line): 15.08 MnT
JSW Steel,2022,production_mt,18.18,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/jsw_steel/JSW Steel Integrated Report 2021-22.pdf,15,,regex_text,b8919da18ad8ed1ed8aee9785bdc7b22e9523353be85ae8db8b81991deeb6f81,2026-02-12,high,JSW consolidated production: 18.18 MnT
JSW Steel,2023,production_mt,24.16,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/jsw_steel/JSW Steel IR 22-23_Web_Final.pdf,12,,regex_text,e74827060e206e1060c0673bb2a6ddebe3bf240190ed72bd5deafaa9b46d3537,2026-02-12,high,JSW consolidated production: 24.16 MnT
JSW Steel,2024,production_mt,26.43,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/jsw_steel/Integrated-Annual-Report-FY-2023-24.pdf,12,,regex_text,ffd91abab6dda79114d64748ea9b83cb322b5bb167b5ff6a0576ea5eee7efa79,2026-02-12,high,JSW consolidated production: 26.43 MnT
Nippon Steel,2018,production_mt,40.67,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/nippon_steel/report2018.pdf,15,,regex_text,062e3140fba0b9ca6ff69671bc771673a3396e77e049f0b75272e9b04402b473,2026-02-12,high,Nippon 'produced X million tons of crude steel': 40.67
Nippon Steel,2022,production_mt,38.68,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/nippon_steel/report2022en.pdf,18,,regex_text,61dfc6dc76e6df687b01c31f434085a67c7b3e375f9b7270f563b7996db03afe,2026-02-12,high,Nippon 'produced X million tons of crude steel': 38.68
Nippon Steel,2023,production_mt,34.25,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/nippon_steel/report2023en.pdf,17,,regex_text,16e6e0b0d4bb670723f27826e7102cb7816a0520d2b86c8c7ea9a4173fe51d73,2026-02-12,high,Nippon 'produced X million tons of crude steel': 34.25
Nippon Steel,2024,production_mt,52.0,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/nippon_steel/nsc_en_ir_2024_all.pdf,3,1.0,table_pdfplumber,5c7283c7b9ea7941e713eb9270c8931a53d61e8bce84c5d34671c29bf204a039,2026-02-12,high,"Table: global crude steel
production
capacity
(million tons/year) japan 52 47 47"
POSCO Holdings,2021,production_mt,45.0,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/posco/POSCO_Sustainability_Report_2021_eng.pdf,4,,regex_text,5207a90a5b83ac88582aec27ae4c140acab53c2b214292dc087db0a04a07dcf1,2026-02-12,high,POSCO crude steel produced: 45.0 Mt
POSCO Holdings,2022,production_mt,34.2,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/posco/POSCO_Sustainability_Report_2022_eng.pdf,41,,regex_text,13f7bd8ac78fb328aaae5d38538ef9a6937d3c385f14db505ad23d3454d3fa2d,2026-02-12,high,POSCO crude steel produced: 34.2 Mt
POSCO Holdings,2023,production_mt,38.263,Mt,01.Data/01.RawData/01. Company Data/Historical/AnnualReports/steel/posco/POSCO_Sustainability_Report_2023_eng.pdf,124,,regex_text,ea0ab15d0e821e368183d6c8e06faf05b07f8116ba1d678160c6c083d6a59951,2026-02-12,high,POSCO crude steel produced: 38263.0 kt = 38.3 Mt
