company,year,intensity_tco2_per_t,is_historical,alignment_2050,source,scenario,emissions_mt_co2,production_mt,projection_method,cagr_applied
Acerinox,2016,0.924755152,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2017,0.930740131,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2018,0.989485468,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2019,1.232366124,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2020,1.225537406,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2021,1.117391722,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2022,1.153173125,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2023,1.07959003,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2024,1.036637048,True,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2025,0.965733085,False,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2026,0.894829122,False,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2027,0.82392516,False,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2028,0.753021197,False,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2029,0.682117235,False,National Pledges,tpi,tpi_intensity_pathway,,,,
Acerinox,2030,0.611213272,False,National Pledges,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2013,1.98019802,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2014,1.94358242,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2015,1.96801436,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2016,1.972082365,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2017,1.963794881,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2018,1.939743673,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2019,1.951920186,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2020,1.797922463,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2021,1.87804984,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2022,1.871154726,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2023,1.851979346,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2024,1.730915371,True,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
Arcelor Mittal,2025,1.684897435,False,1.5 Degrees,tpi,tpi_intensity_pathway,,,,
