Company ID,Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Region,Carbon Performance Regional Alignment 2025,Carbon Performance Regional Alignment 2027,Carbon Performance Regional Alignment 2028,Carbon Performance Regional Alignment 2035,Carbon Performance Regional Alignment 2050,Regional Benchmark ID,Years with targets,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1294,AGL Energy,Australia,AUS,Electricity Utilities,Yes,medium,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/10/2025,23/06/2025,OECD,,,Not Aligned,1.5 Degrees,1.5 Degrees,OECD_Electricity Utilities_01/05/2024,2027;2033;2034;2035,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate the company’s targeted absolute emissions reduction on an intensity basis, TPI assumes that the company’s electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.97,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.938,0.917,0.94,0.91175,0.8835,0.85525,0.827,0.821082955,0.81516591,0.809248866,0.803331821,0.797414776,0.791497731,0.44736303,0.0,,,,,,,,,,,,,,,
1294,AGL Energy,Australia,AUS,Electricity Utilities,Yes,medium,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/10/2024,09/06/2024,OECD,,Not Aligned,,1.5 Degrees,1.5 Degrees,OECD_Electricity Utilities_01/05/2024,2034;2035,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate the company’s targeted absolute emissions reduction on an intensity basis, TPI assumes that the company’s electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.97,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.938,0.917,0.873818959,0.830637918,0.787456876,0.744275835,0.701094794,0.657913753,0.614732712,0.571551671,0.528370629,0.485189588,0.442008547,0.398827506,0.0,,,,,,,,,,,,,,,
1294,AGL Energy,Australia,AUS,Electricity Utilities,Yes,medium,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2023,04/07/2023,OECD,Not Aligned,,,1.5 Degrees,1.5 Degrees,OECD_Electricity Utilities_01/04/2022,2023;2034;2035,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate the company’s targeted absolute emissions reduction on an intensity basis, TPI assumes that the company’s electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.97,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.938,0.883947889,0.829895779,0.795085233,0.760274688,0.725464143,0.690653597,0.655843052,0.621032507,0.586221961,0.551411416,0.516600871,0.481790325,0.44697978,0.0,,,,,,,,,,,,,,,
1294,AGL Energy,Australia,AUS,Electricity Utilities,Yes,medium,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/09/2022,22/07/2022,OECD,Not Aligned,,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2024;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.92,0.9,0.87,0.85,0.81,0.78,0.75,0.72,0.68,0.65,0.62,0.59,0.55,0.52,0.49,0.46,0.42,0.39,0.36,0.33,0.29,0.26,0.23,0.2,0.16,0.13,0.1,0.07,0.03,0.0
1294,AGL Energy,Australia,AUS,Electricity Utilities,Yes,medium,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2021,05/08/2021,OECD,Not Aligned,,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2024;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.97,0.97,0.96,0.98,0.97,0.95,0.94,0.921048,0.902096,0.883144,0.864192,0.84524,0.812730769,0.780221538,0.747712308,0.715203077,0.682693846,0.650184615,0.617675385,0.585166154,0.552656923,0.520147692,0.487638462,0.455129231,0.42262,0.390110769,0.357601538,0.325092308,0.292583077,0.260073846,0.227564615,0.195055385,0.162546154,0.130036923,0.097527692,0.065018462,0.032509231,0.0
1505,Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/09/2025,01/08/2025,North-America,,,1.5 Degrees,National Pledges,National Pledges,North-America_Electricity Utilities_01/05/2024,2050,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.3291,0.2814,0.2798,0.2091,0.1997,0.1608,0.1438,0.138474074,0.133148148,0.127822222,0.122496296,0.11717037,0.111844444,0.106518519,0.101192593,0.095866667,0.090540741,0.085214815,0.079888889,0.074562963,0.069237037,0.063911111,0.058585185,0.053259259,0.047933333,0.042607407,0.037281481,0.031955556,0.02662963,0.021303704,0.015977778,0.010651852,0.005325926,0.0
1505,Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/10/2024,06/08/2024,North-America,,,,National Pledges,National Pledges,North-America_Electricity Utilities_01/05/2024,2050,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.33,0.28,0.28,0.21,0.2,0.16,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.0
1505,Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/11/2023,04/07/2023,North-America,1.5 Degrees,,,National Pledges,National Pledges,North-America_Electricity Utilities_01/04/2022,2050,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.3291,0.2814,0.2798,0.2091,0.1997,0.1608,0.155057143,0.149314286,0.143571429,0.137828571,0.132085714,0.126342857,0.1206,0.114857143,0.109114286,0.103371429,0.097628571,0.091885714,0.086142857,0.0804,0.074657143,0.068914286,0.063171429,0.057428571,0.051685714,0.045942857,0.0402,0.034457143,0.028714286,0.022971429,0.017228571,0.011485714,0.005742857,0.0
1505,Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/09/2022,22/07/2022,North-America,Not Aligned,,,National Pledges,National Pledges,North-America_Electricity Utilities_01/04/2022,2023;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS).

The company's target applies to Scope 1 and 2 emissions, which normally would not be accepted in TPI's electricity methodology because targets must be stated explicitly as referring to Scope 1 emissions from electricity generation. However, Algonquin Power & Utilities has made explicit that it will meet its target by closing a coal facility. We therefore assume that effectively their target will be applied to the emissions from electricity generation. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.33,0.28,0.28,0.21,0.24,0.26,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.06,0.05,0.04,0.03,0.02,0.01,0.0
1505,Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/11/2021,05/08/2021,North-America,National Pledges,,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,2023,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).

The company's target applies to Scope 1 and 2 emissions, which normally would not be accepted in TPI's electricity methodology because targets must be stated explicitly as referring to Scope 1 emissions from electricity generation. However, Algonquin Power & Utilities has made explicit that it will meet its target by closing a coal facility. We therefore assume that effectively their target will be applied to the emissions from electricity generation.",,,,0.0789,0.3433,0.2953,0.2947,0.279065796,0.263431592,0.247797388,0.232163184,,,,,,,,,,,,,,,,,,,,,,,,,,,
